Loaded learner weights from /Users/utsumikensuke/Research/Cartpole/model_weights/best_flanker_rnn_model.pth
Start training on cpu...
Episode 9550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 10950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 11950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12500 | Avg Return: 0.00 | Learner Acc: 100.00%
